gene_pair	Spearman	Pos/Neg	gene1_symbol	gene2_symbol	gene1_name	gene2_name
('ENSG00000144713', 'ENSG00000198242')	0.8573171506931743	1	RPL32	RPL23A	ribosomal protein L32	ribosomal protein L23a
('ENSG00000105372', 'ENSG00000156482')	0.8573167515188079	1	RPS19	RPL30	ribosomal protein S19	ribosomal protein L30
('ENSG00000198727', 'ENSG00000198886')	0.8572680934838269	1	MT-CYB	MT-ND4	mitochondrially encoded cytochrome b	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
('ENSG00000112306', 'ENSG00000138326')	0.8569941036059487	1	RPS12	RPS24	ribosomal protein S12	ribosomal protein S24
('ENSG00000198242', 'ENSG00000198755')	0.8569608925980082	1	RPL23A	RPL10A	ribosomal protein L23a	ribosomal protein L10a
('ENSG00000115268', 'ENSG00000134419')	0.8569303367480704	1	RPS15	RPS15A	ribosomal protein S15	ribosomal protein S15a
('ENSG00000174748', 'ENSG00000198034')	0.856914236931122	1	RPL15	RPS4X	ribosomal protein L15	ribosomal protein S4 X-linked
('ENSG00000109475', 'ENSG00000177600')	0.856746334949382	1	RPL34	RPLP2	ribosomal protein L34	ribosomal protein lateral stalk subunit P2
('ENSG00000089009', 'ENSG00000162244')	0.8566759268023642	1	RPL6	RPL29	ribosomal protein L6	ribosomal protein L29
('ENSG00000142937', 'ENSG00000145425')	0.8566667883906142	1	RPS8	RPS3A	ribosomal protein S8	ribosomal protein S3A
('ENSG00000188846', 'ENSG00000197958')	0.8565573462539072	1	RPL14	RPL12	ribosomal protein L14	ribosomal protein L12
('ENSG00000174748', 'ENSG00000186468')	0.8565193527084343	1	RPL15	RPS23	ribosomal protein L15	ribosomal protein S23
('ENSG00000188846', 'ENSG00000198755')	0.8564771638177838	1	RPL14	RPL10A	ribosomal protein L14	ribosomal protein L10a
('ENSG00000108298', 'ENSG00000137818')	0.8564434735870471	1	RPL19	RPLP1	ribosomal protein L19	ribosomal protein lateral stalk subunit P1
('ENSG00000100316', 'ENSG00000149273')	0.8564177392198534	1	RPL3	RPS3	ribosomal protein L3	ribosomal protein S3
('ENSG00000143947', 'ENSG00000144713')	0.856403638894209	1	RPS27A	RPL32	ribosomal protein S27a	ribosomal protein L32
('ENSG00000145592', 'ENSG00000188846')	0.8563741124545127	1	RPL37	RPL14	ribosomal protein L37	ribosomal protein L14
('ENSG00000143947', 'ENSG00000171863')	0.856331365431251	1	RPS27A	RPS7	ribosomal protein S27a	ribosomal protein S7
('ENSG00000144713', 'ENSG00000233927')	0.8562904545106116	1	RPL32	RPS28	ribosomal protein L32	ribosomal protein S28
('ENSG00000112306', 'ENSG00000167526')	0.8562758842689635	1	RPS12	RPL13	ribosomal protein S12	ribosomal protein L13
('ENSG00000138326', 'ENSG00000144713')	0.8562020624889991	1	RPS24	RPL32	ribosomal protein S24	ribosomal protein L32
('ENSG00000089009', 'ENSG00000233927')	0.8561617814428603	1	RPL6	RPS28	ribosomal protein L6	ribosomal protein S28
('ENSG00000142937', 'ENSG00000198034')	0.8561369352656882	1	RPS8	RPS4X	ribosomal protein S8	ribosomal protein S4 X-linked
('ENSG00000089009', 'ENSG00000122406')	0.856133911362491	1	RPL6	RPL5	ribosomal protein L6	ribosomal protein L5
('ENSG00000063177', 'ENSG00000162244')	0.8560999435032027	1	RPL18	RPL29	ribosomal protein L18	ribosomal protein L29
('ENSG00000149273', 'ENSG00000186468')	0.8560622820387541	1	RPS3	RPS23	ribosomal protein S3	ribosomal protein S23
('ENSG00000164587', 'ENSG00000198034')	0.855994107975784	1	RPS14	RPS4X	ribosomal protein S14	ribosomal protein S4 X-linked
('ENSG00000089009', 'ENSG00000188846')	0.855981256755816	1	RPL6	RPL14	ribosomal protein L6	ribosomal protein L14
('ENSG00000100316', 'ENSG00000198034')	0.8558216634790796	1	RPL3	RPS4X	ribosomal protein L3	ribosomal protein S4 X-linked
('ENSG00000108107', 'ENSG00000188846')	0.8557936677168332	1	RPL28	RPL14	ribosomal protein L28	ribosomal protein L14
('ENSG00000149273', 'ENSG00000167526')	0.8557321707001624	1	RPS3	RPL13	ribosomal protein S3	ribosomal protein L13
('ENSG00000188846', 'ENSG00000233927')	0.8557288377442664	1	RPL14	RPS28	ribosomal protein L14	ribosomal protein S28
('ENSG00000110700', 'ENSG00000142937')	0.8556654549975324	1	RPS13	RPS8	ribosomal protein S13	ribosomal protein S8
('ENSG00000109475', 'ENSG00000130255')	0.8556342824284174	1	RPL34	RPL36	ribosomal protein L34	ribosomal protein L36
('ENSG00000142676', 'ENSG00000149273')	0.8556191639978409	1	RPL11	RPS3	ribosomal protein L11	ribosomal protein S3
('ENSG00000105372', 'ENSG00000177954')	0.8555952989608121	1	RPS19	RPS27	ribosomal protein S19	ribosomal protein S27
('ENSG00000110700', 'ENSG00000149273')	0.8555572602800772	1	RPS13	RPS3	ribosomal protein S13	ribosomal protein S3
('ENSG00000137154', 'ENSG00000198034')	0.8555525296107397	1	RPS6	RPS4X	ribosomal protein S6	ribosomal protein S4 X-linked
('ENSG00000145425', 'ENSG00000171863')	0.8555342614130685	1	RPS3A	RPS7	ribosomal protein S3A	ribosomal protein S7
('ENSG00000144713', 'ENSG00000177600')	0.8554778036108363	1	RPL32	RPLP2	ribosomal protein L32	ribosomal protein lateral stalk subunit P2
('ENSG00000063177', 'ENSG00000161016')	0.855392377487726	1	RPL18	RPL8	ribosomal protein L18	ribosomal protein L8
('ENSG00000100316', 'ENSG00000174748')	0.8552331079838694	1	RPL3	RPL15	ribosomal protein L3	ribosomal protein L15
('ENSG00000105372', 'ENSG00000115268')	0.8552043552654525	1	RPS19	RPS15	ribosomal protein S19	ribosomal protein S15
('ENSG00000171863', 'ENSG00000186468')	0.8551708049927703	1	RPS7	RPS23	ribosomal protein S7	ribosomal protein S23
('ENSG00000156482', 'ENSG00000177954')	0.855059140259502	1	RPL30	RPS27	ribosomal protein L30	ribosomal protein S27
('ENSG00000130255', 'ENSG00000134419')	0.8549597359281731	1	RPL36	RPS15A	ribosomal protein L36	ribosomal protein S15a
('ENSG00000130255', 'ENSG00000149273')	0.8549282170543921	1	RPL36	RPS3	ribosomal protein L36	ribosomal protein S3
('ENSG00000161016', 'ENSG00000164587')	0.8548730452754099	1	RPL8	RPS14	ribosomal protein L8	ribosomal protein S14
('ENSG00000186468', 'ENSG00000233927')	0.8548654598257669	1	RPS23	RPS28	ribosomal protein S23	ribosomal protein S28
('ENSG00000137818', 'ENSG00000142676')	0.8547779036774782	1	RPLP1	RPL11	ribosomal protein lateral stalk subunit P1	ribosomal protein L11
('ENSG00000147403', 'ENSG00000164587')	0.8547533985162022	1	RPL10	RPS14	ribosomal protein L10	ribosomal protein S14
('ENSG00000171863', 'ENSG00000196531')	0.8546384053114606	0	RPS7	NACA	ribosomal protein S7	nascent polypeptide associated complex subunit alpha
('ENSG00000108107', 'ENSG00000138326')	0.8545920769051211	1	RPL28	RPS24	ribosomal protein L28	ribosomal protein S24
('ENSG00000105640', 'ENSG00000134419')	0.8545326927001956	1	RPL18A	RPS15A	ribosomal protein L18a	ribosomal protein S15a
('ENSG00000142937', 'ENSG00000197958')	0.8544721418291492	1	RPS8	RPL12	ribosomal protein S8	ribosomal protein L12
('ENSG00000110700', 'ENSG00000177600')	0.8544664074431534	1	RPS13	RPLP2	ribosomal protein S13	ribosomal protein lateral stalk subunit P2
('ENSG00000063177', 'ENSG00000197958')	0.8544365232812642	1	RPL18	RPL12	ribosomal protein L18	ribosomal protein L12
('ENSG00000137154', 'ENSG00000182899')	0.8544157550407583	1	RPS6	RPL35A	ribosomal protein S6	ribosomal protein L35a
('ENSG00000171863', 'ENSG00000197958')	0.8543547067532048	1	RPS7	RPL12	ribosomal protein S7	ribosomal protein L12
('ENSG00000089009', 'ENSG00000182899')	0.85430803956641	1	RPL6	RPL35A	ribosomal protein L6	ribosomal protein L35a
('ENSG00000143947', 'ENSG00000167526')	0.8542976048179002	1	RPS27A	RPL13	ribosomal protein S27a	ribosomal protein L13
('ENSG00000163682', 'ENSG00000182899')	0.8542205736358309	1	RPL9	RPL35A	ribosomal protein L9	ribosomal protein L35a
('ENSG00000138326', 'ENSG00000171863')	0.8541998530166881	1	RPS24	RPS7	ribosomal protein S24	ribosomal protein S7
('ENSG00000149806', 'ENSG00000171863')	0.8541573692465851	1	FAU	RPS7	FAU ubiquitin like and ribosomal protein S30 fusion	ribosomal protein S7
('ENSG00000137154', 'ENSG00000163682')	0.854120731546312	1	RPS6	RPL9	ribosomal protein S6	ribosomal protein L9
('ENSG00000186468', 'ENSG00000198034')	0.8541042888949886	1	RPS23	RPS4X	ribosomal protein S23	ribosomal protein S4 X-linked
('ENSG00000134419', 'ENSG00000188846')	0.8540816842363051	1	RPS15A	RPL14	ribosomal protein S15a	ribosomal protein L14
('ENSG00000161016', 'ENSG00000171863')	0.854040807226787	1	RPL8	RPS7	ribosomal protein L8	ribosomal protein S7
('ENSG00000130255', 'ENSG00000156482')	0.8539579192458971	1	RPL36	RPL30	ribosomal protein L36	ribosomal protein L30
('ENSG00000204287', 'ENSG00000231389')	0.8537979913725869	1	HLA-DRA	HLA-DPA1	major histocompatibility complex, class II, DR alpha	major histocompatibility complex, class II, DP alpha 1
('ENSG00000110700', 'ENSG00000142676')	0.8537481377318874	1	RPS13	RPL11	ribosomal protein S13	ribosomal protein L11
('ENSG00000142676', 'ENSG00000142937')	0.8537395138129692	1	RPL11	RPS8	ribosomal protein L11	ribosomal protein S8
('ENSG00000143947', 'ENSG00000198242')	0.853732612323685	1	RPS27A	RPL23A	ribosomal protein S27a	ribosomal protein L23a
('ENSG00000156482', 'ENSG00000197958')	0.8537239551891463	1	RPL30	RPL12	ribosomal protein L30	ribosomal protein L12
('ENSG00000105640', 'ENSG00000149273')	0.8536302188998626	1	RPL18A	RPS3	ribosomal protein L18a	ribosomal protein S3
('ENSG00000063177', 'ENSG00000142676')	0.8535652218551666	1	RPL18	RPL11	ribosomal protein L18	ribosomal protein L11
('ENSG00000063177', 'ENSG00000142937')	0.853546744408791	1	RPL18	RPS8	ribosomal protein L18	ribosomal protein S8
('ENSG00000156482', 'ENSG00000163682')	0.8534643940013049	1	RPL30	RPL9	ribosomal protein L30	ribosomal protein L9
('ENSG00000108298', 'ENSG00000162244')	0.8534394439961422	1	RPL19	RPL29	ribosomal protein L19	ribosomal protein L29
('ENSG00000145425', 'ENSG00000198918')	0.8534345521183611	1	RPS3A	RPL39	ribosomal protein S3A	ribosomal protein L39
('ENSG00000089009', 'ENSG00000186468')	0.8533663022742177	1	RPL6	RPS23	ribosomal protein L6	ribosomal protein S23
('ENSG00000138326', 'ENSG00000156482')	0.8531941427427596	1	RPS24	RPL30	ribosomal protein S24	ribosomal protein L30
('ENSG00000109475', 'ENSG00000138326')	0.8531921458993325	1	RPL34	RPS24	ribosomal protein L34	ribosomal protein S24
('ENSG00000198918', 'ENSG00000233927')	0.8531636098366585	1	RPL39	RPS28	ribosomal protein L39	ribosomal protein S28
('ENSG00000145425', 'ENSG00000161016')	0.8529975299416137	1	RPS3A	RPL8	ribosomal protein S3A	ribosomal protein L8
('ENSG00000115268', 'ENSG00000137154')	0.852997486504781	1	RPS15	RPS6	ribosomal protein S15	ribosomal protein S6
('ENSG00000145425', 'ENSG00000198242')	0.8528389219517739	1	RPS3A	RPL23A	ribosomal protein S3A	ribosomal protein L23a
('ENSG00000130255', 'ENSG00000163682')	0.8528051879599705	1	RPL36	RPL9	ribosomal protein L36	ribosomal protein L9
('ENSG00000142676', 'ENSG00000147403')	0.8527567353455734	1	RPL11	RPL10	ribosomal protein L11	ribosomal protein L10
('ENSG00000063177', 'ENSG00000115268')	0.8527566781858343	1	RPL18	RPS15	ribosomal protein L18	ribosomal protein S15
('ENSG00000174748', 'ENSG00000233927')	0.8526827382263106	1	RPL15	RPS28	ribosomal protein L15	ribosomal protein S28
('ENSG00000130255', 'ENSG00000162244')	0.8526464409798385	1	RPL36	RPL29	ribosomal protein L36	ribosomal protein L29
('ENSG00000134419', 'ENSG00000174748')	0.8526369382405135	1	RPS15A	RPL15	ribosomal protein S15a	ribosomal protein L15
('ENSG00000130255', 'ENSG00000143947')	0.8526222382330874	1	RPL36	RPS27A	ribosomal protein L36	ribosomal protein S27a
('ENSG00000110700', 'ENSG00000130255')	0.8526047487464021	1	RPS13	RPL36	ribosomal protein S13	ribosomal protein L36
('ENSG00000105640', 'ENSG00000198242')	0.8525879715807976	1	RPL18A	RPL23A	ribosomal protein L18a	ribosomal protein L23a
('ENSG00000105372', 'ENSG00000108298')	0.8525324334054476	1	RPS19	RPL19	ribosomal protein S19	ribosomal protein L19
('ENSG00000138326', 'ENSG00000186468')	0.8525043622373158	1	RPS24	RPS23	ribosomal protein S24	ribosomal protein S23
('ENSG00000134419', 'ENSG00000177600')	0.8524903910210743	1	RPS15A	RPLP2	ribosomal protein S15a	ribosomal protein lateral stalk subunit P2
('ENSG00000198712', 'ENSG00000198886')	0.8524837732031891	1	MT-CO2	MT-ND4	mitochondrially encoded cytochrome c oxidase II	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
('ENSG00000164587', 'ENSG00000198242')	0.8524762008945461	1	RPS14	RPL23A	ribosomal protein S14	ribosomal protein L23a
('ENSG00000144713', 'ENSG00000177954')	0.8524596594996773	1	RPL32	RPS27	ribosomal protein L32	ribosomal protein S27
('ENSG00000164587', 'ENSG00000233927')	0.8524173268462276	1	RPS14	RPS28	ribosomal protein S14	ribosomal protein S28
('ENSG00000063177', 'ENSG00000110700')	0.8524059392467157	1	RPL18	RPS13	ribosomal protein L18	ribosomal protein S13
('ENSG00000137154', 'ENSG00000143947')	0.8523982743364842	1	RPS6	RPS27A	ribosomal protein S6	ribosomal protein S27a
('ENSG00000142937', 'ENSG00000149273')	0.852338321296868	1	RPS8	RPS3	ribosomal protein S8	ribosomal protein S3
('ENSG00000105640', 'ENSG00000115268')	0.8522945727869273	1	RPL18A	RPS15	ribosomal protein L18a	ribosomal protein S15
('ENSG00000144713', 'ENSG00000161016')	0.8522874908286373	1	RPL32	RPL8	ribosomal protein L32	ribosomal protein L8
('ENSG00000137154', 'ENSG00000231500')	0.8522856236536652	1	RPS6	RPS18	ribosomal protein S6	ribosomal protein S18
('ENSG00000108298', 'ENSG00000177600')	0.8521705410996857	1	RPL19	RPLP2	ribosomal protein L19	ribosomal protein lateral stalk subunit P2
('ENSG00000142937', 'ENSG00000198918')	0.8521512258234862	1	RPS8	RPL39	ribosomal protein S8	ribosomal protein L39
('ENSG00000112306', 'ENSG00000134419')	0.8521026785990962	1	RPS12	RPS15A	ribosomal protein S12	ribosomal protein S15a
('ENSG00000105372', 'ENSG00000147403')	0.852099806178858	1	RPS19	RPL10	ribosomal protein S19	ribosomal protein L10
('ENSG00000109475', 'ENSG00000163682')	0.8520305039204885	1	RPL34	RPL9	ribosomal protein L34	ribosomal protein L9
('ENSG00000142676', 'ENSG00000186468')	0.8520084112794221	1	RPL11	RPS23	ribosomal protein L11	ribosomal protein S23
('ENSG00000108298', 'ENSG00000198034')	0.8519967789455951	1	RPL19	RPS4X	ribosomal protein L19	ribosomal protein S4 X-linked
('ENSG00000100316', 'ENSG00000182899')	0.8519620405822069	1	RPL3	RPL35A	ribosomal protein L3	ribosomal protein L35a
('ENSG00000171863', 'ENSG00000182899')	0.8519297582638571	1	RPS7	RPL35A	ribosomal protein S7	ribosomal protein L35a
('ENSG00000063177', 'ENSG00000186468')	0.8517931738367955	1	RPL18	RPS23	ribosomal protein L18	ribosomal protein S23
('ENSG00000182899', 'ENSG00000186468')	0.8517700775701765	1	RPL35A	RPS23	ribosomal protein L35a	ribosomal protein S23
('ENSG00000105193', 'ENSG00000198242')	0.8517189074702586	1	RPS16	RPL23A	ribosomal protein S16	ribosomal protein L23a
('ENSG00000105193', 'ENSG00000163682')	0.8517086326612857	1	RPS16	RPL9	ribosomal protein S16	ribosomal protein L9
('ENSG00000114391', 'ENSG00000171863')	0.8517079061365488	1	RPL24	RPS7	ribosomal protein L24	ribosomal protein S7
('ENSG00000089009', 'ENSG00000148303')	0.8515632996279534	1	RPL6	RPL7A	ribosomal protein L6	ribosomal protein L7a
('ENSG00000130255', 'ENSG00000142676')	0.8515410189133238	1	RPL36	RPL11	ribosomal protein L36	ribosomal protein L11
('ENSG00000110700', 'ENSG00000164587')	0.8515196061866952	1	RPS13	RPS14	ribosomal protein S13	ribosomal protein S14
('ENSG00000110700', 'ENSG00000156482')	0.8514736074866907	1	RPS13	RPL30	ribosomal protein S13	ribosomal protein L30
('ENSG00000149273', 'ENSG00000198034')	0.8514728138704795	1	RPS3	RPS4X	ribosomal protein S3	ribosomal protein S4 X-linked
('ENSG00000161016', 'ENSG00000197958')	0.8514308321580778	1	RPL8	RPL12	ribosomal protein L8	ribosomal protein L12
('ENSG00000144713', 'ENSG00000198034')	0.8513898093360195	1	RPL32	RPS4X	ribosomal protein L32	ribosomal protein S4 X-linked
('ENSG00000182899', 'ENSG00000233927')	0.851383970619528	1	RPL35A	RPS28	ribosomal protein L35a	ribosomal protein S28
('ENSG00000137154', 'ENSG00000177954')	0.851368399968446	1	RPS6	RPS27	ribosomal protein S6	ribosomal protein S27
('ENSG00000108107', 'ENSG00000156482')	0.8513593309877789	1	RPL28	RPL30	ribosomal protein L28	ribosomal protein L30
('ENSG00000145592', 'ENSG00000171863')	0.8512639293988065	1	RPL37	RPS7	ribosomal protein L37	ribosomal protein S7
('ENSG00000083845', 'ENSG00000188846')	0.8512487261637428	1	RPS5	RPL14	ribosomal protein S5	ribosomal protein L14
('ENSG00000137818', 'ENSG00000177600')	0.8512422506318872	1	RPLP1	RPLP2	ribosomal protein lateral stalk subunit P1	ribosomal protein lateral stalk subunit P2
('ENSG00000145425', 'ENSG00000177600')	0.8512375975516357	1	RPS3A	RPLP2	ribosomal protein S3A	ribosomal protein lateral stalk subunit P2
('ENSG00000110700', 'ENSG00000143947')	0.8510702824524685	1	RPS13	RPS27A	ribosomal protein S13	ribosomal protein S27a
('ENSG00000108298', 'ENSG00000138326')	0.8508835818063722	1	RPL19	RPS24	ribosomal protein L19	ribosomal protein S24
('ENSG00000149273', 'ENSG00000163682')	0.8508701980789792	1	RPS3	RPL9	ribosomal protein S3	ribosomal protein L9
('ENSG00000089009', 'ENSG00000198755')	0.850785312063019	1	RPL6	RPL10A	ribosomal protein L6	ribosomal protein L10a
('ENSG00000108107', 'ENSG00000197958')	0.8507539529768785	1	RPL28	RPL12	ribosomal protein L28	ribosomal protein L12
('ENSG00000142676', 'ENSG00000171863')	0.8507111877584307	1	RPL11	RPS7	ribosomal protein L11	ribosomal protein S7
('ENSG00000162244', 'ENSG00000171863')	0.8507018262663397	1	RPL29	RPS7	ribosomal protein L29	ribosomal protein S7
('ENSG00000122406', 'ENSG00000198755')	0.8506925537316521	1	RPL5	RPL10A	ribosomal protein L5	ribosomal protein L10a
('ENSG00000161016', 'ENSG00000177600')	0.8505552988321274	1	RPL8	RPLP2	ribosomal protein L8	ribosomal protein lateral stalk subunit P2
('ENSG00000198727', 'ENSG00000198786')	0.8505498138295823	1	MT-CYB	MT-ND5	mitochondrially encoded cytochrome b	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
('ENSG00000089009', 'ENSG00000204628')	0.8505242295228117	1	RPL6	RACK1	ribosomal protein L6	receptor for activated C kinase 1
('ENSG00000145592', 'ENSG00000198918')	0.8505178390419008	1	RPL37	RPL39	ribosomal protein L37	ribosomal protein L39
('ENSG00000142676', 'ENSG00000145425')	0.8504822613848573	1	RPL11	RPS3A	ribosomal protein L11	ribosomal protein S3A
('ENSG00000108298', 'ENSG00000197958')	0.8504721920043753	1	RPL19	RPL12	ribosomal protein L19	ribosomal protein L12
('ENSG00000105193', 'ENSG00000115268')	0.8504689828575569	1	RPS16	RPS15	ribosomal protein S16	ribosomal protein S15
('ENSG00000089009', 'ENSG00000114391')	0.8504651387446213	1	RPL6	RPL24	ribosomal protein L6	ribosomal protein L24
('ENSG00000130255', 'ENSG00000174748')	0.8504373067234506	1	RPL36	RPL15	ribosomal protein L36	ribosomal protein L15
('ENSG00000164587', 'ENSG00000186468')	0.8503862131927223	1	RPS14	RPS23	ribosomal protein S14	ribosomal protein S23
('ENSG00000161016', 'ENSG00000162244')	0.8503602167356916	1	RPL8	RPL29	ribosomal protein L8	ribosomal protein L29
('ENSG00000138326', 'ENSG00000233927')	0.8503567800998212	1	RPS24	RPS28	ribosomal protein S24	ribosomal protein S28
('ENSG00000177600', 'ENSG00000182899')	0.85032286374184	1	RPLP2	RPL35A	ribosomal protein lateral stalk subunit P2	ribosomal protein L35a
('ENSG00000115268', 'ENSG00000142676')	0.850286502962395	1	RPS15	RPL11	ribosomal protein S15	ribosomal protein L11
('ENSG00000112306', 'ENSG00000137818')	0.8502602658598801	1	RPS12	RPLP1	ribosomal protein S12	ribosomal protein lateral stalk subunit P1
('ENSG00000109475', 'ENSG00000198918')	0.8502555785849691	1	RPL34	RPL39	ribosomal protein L34	ribosomal protein L39
('ENSG00000137818', 'ENSG00000198034')	0.8501978515070926	1	RPLP1	RPS4X	ribosomal protein lateral stalk subunit P1	ribosomal protein S4 X-linked
('ENSG00000142676', 'ENSG00000198034')	0.8501470062015914	1	RPL11	RPS4X	ribosomal protein L11	ribosomal protein S4 X-linked
('ENSG00000063177', 'ENSG00000134419')	0.8501440396932263	1	RPL18	RPS15A	ribosomal protein L18	ribosomal protein S15a
('ENSG00000137154', 'ENSG00000145425')	0.8501342072276205	1	RPS6	RPS3A	ribosomal protein S6	ribosomal protein S3A
('ENSG00000137818', 'ENSG00000147403')	0.8501208130995581	1	RPLP1	RPL10	ribosomal protein lateral stalk subunit P1	ribosomal protein L10
('ENSG00000108107', 'ENSG00000186468')	0.8500966115394559	1	RPL28	RPS23	ribosomal protein L28	ribosomal protein S23
('ENSG00000142676', 'ENSG00000174748')	0.8500959749373689	1	RPL11	RPL15	ribosomal protein L11	ribosomal protein L15
('ENSG00000171863', 'ENSG00000174748')	0.8500388385491329	1	RPS7	RPL15	ribosomal protein S7	ribosomal protein L15
('ENSG00000108298', 'ENSG00000115268')	0.8500147486642947	1	RPL19	RPS15	ribosomal protein L19	ribosomal protein S15
('ENSG00000105193', 'ENSG00000174748')	0.8500002525208123	1	RPS16	RPL15	ribosomal protein S16	ribosomal protein L15
('ENSG00000063177', 'ENSG00000204628')	0.8499768275575736	1	RPL18	RACK1	ribosomal protein L18	receptor for activated C kinase 1
('ENSG00000105372', 'ENSG00000142676')	0.8499211335780105	1	RPS19	RPL11	ribosomal protein S19	ribosomal protein L11
('ENSG00000134419', 'ENSG00000198918')	0.8499173366299684	1	RPS15A	RPL39	ribosomal protein S15a	ribosomal protein L39
('ENSG00000109475', 'ENSG00000186468')	0.8497912541317914	1	RPL34	RPS23	ribosomal protein L34	ribosomal protein S23
('ENSG00000083845', 'ENSG00000198755')	0.8497156529405405	1	RPS5	RPL10A	ribosomal protein S5	ribosomal protein L10a
('ENSG00000115268', 'ENSG00000177954')	0.8496968771136372	1	RPS15	RPS27	ribosomal protein S15	ribosomal protein S27
('ENSG00000112306', 'ENSG00000137154')	0.8496767857662124	1	RPS12	RPS6	ribosomal protein S12	ribosomal protein S6
('ENSG00000108107', 'ENSG00000144713')	0.8496501143933484	1	RPL28	RPL32	ribosomal protein L28	ribosomal protein L32
('ENSG00000156482', 'ENSG00000161016')	0.8495998737655666	1	RPL30	RPL8	ribosomal protein L30	ribosomal protein L8
('ENSG00000115268', 'ENSG00000145425')	0.8495364483493099	1	RPS15	RPS3A	ribosomal protein S15	ribosomal protein S3A
('ENSG00000115268', 'ENSG00000198034')	0.8495259060595662	1	RPS15	RPS4X	ribosomal protein S15	ribosomal protein S4 X-linked
('ENSG00000112306', 'ENSG00000115268')	0.8495180914785263	1	RPS12	RPS15	ribosomal protein S12	ribosomal protein S15
('ENSG00000105640', 'ENSG00000177600')	0.8495051361765612	1	RPL18A	RPLP2	ribosomal protein L18a	ribosomal protein lateral stalk subunit P2
('ENSG00000143947', 'ENSG00000186468')	0.8494855229341071	1	RPS27A	RPS23	ribosomal protein S27a	ribosomal protein S23
('ENSG00000063177', 'ENSG00000138326')	0.8494787404544454	1	RPL18	RPS24	ribosomal protein L18	ribosomal protein S24
('ENSG00000198886', 'ENSG00000198888')	0.8494382470862077	1	MT-ND4	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
('ENSG00000100316', 'ENSG00000164587')	0.8494229573941237	1	RPL3	RPS14	ribosomal protein L3	ribosomal protein S14
('ENSG00000168028', 'ENSG00000188846')	0.8493611990590101	1	RPSA	RPL14	ribosomal protein SA	ribosomal protein L14
('ENSG00000063177', 'ENSG00000083845')	0.8493265970981122	1	RPL18	RPS5	ribosomal protein L18	ribosomal protein S5
('ENSG00000144713', 'ENSG00000162244')	0.8493259195147649	1	RPL32	RPL29	ribosomal protein L32	ribosomal protein L29
('ENSG00000130255', 'ENSG00000198918')	0.8493023729910271	1	RPL36	RPL39	ribosomal protein L36	ribosomal protein L39
('ENSG00000105640', 'ENSG00000167526')	0.8492980538410196	1	RPL18A	RPL13	ribosomal protein L18a	ribosomal protein L13
('ENSG00000105640', 'ENSG00000145425')	0.8492792503066887	1	RPL18A	RPS3A	ribosomal protein L18a	ribosomal protein S3A
('ENSG00000134419', 'ENSG00000167526')	0.8492705915210441	1	RPS15A	RPL13	ribosomal protein S15a	ribosomal protein L13
('ENSG00000163682', 'ENSG00000186468')	0.8492305872705249	1	RPL9	RPS23	ribosomal protein L9	ribosomal protein S23
('ENSG00000142676', 'ENSG00000233927')	0.8491223711322377	1	RPL11	RPS28	ribosomal protein L11	ribosomal protein S28
('ENSG00000137818', 'ENSG00000167526')	0.8491126037906911	1	RPLP1	RPL13	ribosomal protein lateral stalk subunit P1	ribosomal protein L13
('ENSG00000105372', 'ENSG00000149273')	0.8490958108825917	1	RPS19	RPS3	ribosomal protein S19	ribosomal protein S3
('ENSG00000105640', 'ENSG00000143947')	0.8490777290130874	1	RPL18A	RPS27A	ribosomal protein L18a	ribosomal protein S27a
('ENSG00000109475', 'ENSG00000198242')	0.84905353101915	1	RPL34	RPL23A	ribosomal protein L34	ribosomal protein L23a
('ENSG00000063177', 'ENSG00000108107')	0.849048759124411	1	RPL18	RPL28	ribosomal protein L18	ribosomal protein L28
('ENSG00000186468', 'ENSG00000198918')	0.8489384919341892	1	RPS23	RPL39	ribosomal protein S23	ribosomal protein L39
('ENSG00000134419', 'ENSG00000147403')	0.8489365187460914	1	RPS15A	RPL10	ribosomal protein S15a	ribosomal protein L10
('ENSG00000145592', 'ENSG00000163682')	0.8489205812356737	1	RPL37	RPL9	ribosomal protein L37	ribosomal protein L9
('ENSG00000149273', 'ENSG00000177954')	0.8489160315234276	1	RPS3	RPS27	ribosomal protein S3	ribosomal protein S27
('ENSG00000144713', 'ENSG00000174748')	0.8489036054714791	1	RPL32	RPL15	ribosomal protein L32	ribosomal protein L15
('ENSG00000167526', 'ENSG00000177954')	0.8488678634184541	1	RPL13	RPS27	ribosomal protein L13	ribosomal protein S27
('ENSG00000142937', 'ENSG00000148303')	0.8487736271883253	1	RPS8	RPL7A	ribosomal protein S8	ribosomal protein L7a
('ENSG00000145425', 'ENSG00000182899')	0.8486814411682804	1	RPS3A	RPL35A	ribosomal protein S3A	ribosomal protein L35a
('ENSG00000115268', 'ENSG00000137818')	0.8486648279434671	1	RPS15	RPLP1	ribosomal protein S15	ribosomal protein lateral stalk subunit P1
('ENSG00000168028', 'ENSG00000171863')	0.848655492094429	1	RPSA	RPS7	ribosomal protein SA	ribosomal protein S7
