Gene,Top_1,Top_2,Top_3,Top_4,Top_5,Score_1,Score_2,Score_3,Score_4,Score_5
GSK3B,RAB11A,EXOC6B,TNPO1,EXOC4,PAFAH1B1,6.560258926192157,6.501276802573868,6.473977011147789,6.383563420305714,6.184225267939591
ARF4,RAB11A,RAB1A,TRAPPC3,ATP6V1D,ACTR3,6.511223090307034,6.4490472511579195,6.174359126695037,6.1095624693243336,5.4785511664319975
RAB14,ACTR3,PAFAH1B1,ACTR2,ARF4,GSK3B,6.4853291434507785,5.939567112240233,5.783892472394825,5.294103450417936,5.109416541570353
TNPO1,GSK3B,PAFAH1B1,ACTR2,EXOC5,RAB11A,6.473977011147789,5.878384759635083,5.18115797605052,5.110627002167181,4.901675344082113
PACRG,DNAH6,SPAG16,AGBL4,RSPH1,HYDIN,6.441094276538248,6.11265632190673,5.858106631030772,5.540910687017238,5.482546296848091
DNAH6,PACRG,DNAH7,SPEF2,HYDIN,DNAH9,6.441094276538248,6.0386435631632045,5.735320606837037,5.503754145058428,5.368852813214847
TMEM231,B9D1,B9D2,CC2D2A,TMEM67,TCTN3,6.437598006578263,6.220168587342118,6.137777489386774,6.12992168043146,5.317323032195373
PAFAH1B1,EXOC4,RAB10,GSK3B,RAB14,TNPO1,6.428963300423211,6.3674420552754185,6.184225267939591,5.939567112240233,5.878384759635083
TEKT2,ROPN1L,RSPH9,RSPH1,ZMYND10,DNALI1,6.4014565450500305,5.61206201290355,5.466598326374318,5.217947211000709,5.211930750539999
DNAH5,DNALI1,RSPH1,DNAAF1,ZMYND10,DNAH7,6.3578121558048775,6.326807095919477,6.13320190058439,6.098538302687185,5.865602901095986
KIF3B,B9D1,IFT172,DNAL1,IFT22,IFT140,6.355369147852655,5.731550110314604,5.093655214399594,4.833301711941056,4.706972934369636
TRAPPC9,EXOC4,EXOC6B,HTT,ULK4,TTBK2,6.339909358727857,6.095077906306081,5.292700325861272,4.543750805214854,4.518240056540848
NUP214,NUP93,NUP35,NUP62,NUP37,TUBGCP3,6.337222055200383,6.028583631541135,5.91586212452457,5.861541621843052,3.9292004455394913
HTT,TTC17,TTBK2,EXOC6B,TRAPPC9,WDPCP,6.303226490526498,5.761586389975644,5.418743878032648,5.292700325861272,5.234590133860933
ARL2,TRAPPC3,ATP6V1D,RAB11A,CSNK1D,DNAAF2,6.27552934071216,3.8080122206549643,3.511204482051243,2.987825859146766,2.7359986097386484
PDZD7,USH2A,PKD1,TMEM237,RAB15,POMK,6.273786041628707,3.807433454098005,3.125749048460471,2.989050545170553,2.9547053541367503
USH2A,PDZD7,RPGRIP1,TCTN2,POMK,MKKS,6.273786041628707,2.405350503226377,2.2999923064838326,2.240110192726677,2.133909500409642
CCDC40,DRC1,DRC1,SPAG6,DNAI1,DNAH11,6.214980701313874,6.120054325155998,5.632822457608805,5.5900873992255615,5.514445296204505
DPCD,ARL3,B9D1,RSPH1,IFT20,DNALI1,6.205715849906303,5.994294714349341,5.833452672597907,5.630807378631921,5.608216332399855
AGBL4,WDPCP,PACRG,SNAP25,TTBK2,PCDH15,6.1878320332568055,5.858106631030772,4.936098797616417,4.422139832896363,4.421286557709809
DNAH7,HYDIN,DNAH6,SPEF2,DNAH5,NME7,6.186434140891122,6.0386435631632045,6.034012104868752,5.865602901095986,5.823866284854824
VDAC3,RANBP1,RAN,RAB11A,TRAPPC3,NUP37,6.175201345398792,6.072495580545671,5.925225322521096,5.875133820187013,5.574658887671172
UNC119B,IFT52,CLUAP1,RSPH3,RSPH1,IFT122,6.173830045259906,5.875729665099838,5.417616007167172,5.352080946620903,4.95126206598512
NUP37,TBC1D7,NUP35,NUP214,VDAC3,NUP62,6.162082858083329,6.044716368239443,5.861541621843052,5.574658887671172,5.309833025993257
TBC1D7,NUP37,IFT52,PDE6D,CEP97,SNAP29,6.162082858083329,5.152076684383952,4.873649762992616,4.303971298990261,3.812704714547782
PKD2,TTC17,PKD1,INVS,INVS,TTBK2,6.135864962515038,5.484650307191274,4.479592220231647,4.402046729849156,4.399033423487141
SPEF2,HYDIN,DNAH7,DNAH6,DNAH9,WDR35,6.134328006444303,6.034012104868752,5.735320606837037,5.443102935966573,5.386165725932743
DNAAF1,DNAH5,DNALI1,RSPH1,DNAH10,EFHC1,6.13320190058439,5.760777617008679,5.655267271640653,5.0630827498437405,4.943122207075808
SPAG16,PACRG,EFHC1,DYNC2H1,BBS9,IFT88,6.11265632190673,5.513607970900806,5.27860125474389,4.92683677282398,4.809134843854339
IQCB1,CEP290,CEP83,TCTN1,TTC17,PIBF1,6.096602778187717,5.628920969977402,4.922940753618966,4.893429235652018,4.856894852284426
CEP290,IQCB1,C2CD3,PCM1,PIBF1,SPEF2,6.096602778187717,5.823220002682165,5.625412169154444,5.554881101355522,4.81293351010597
POC1B,IFT52,IFT172,WDR35,TRAF3IP1,IFT80,6.089444580524102,4.64616256556033,4.61817890007838,4.3063339223301424,4.281692734881922
NME7,HYDIN,DNAH7,KIF3A,DNAH9,PACRG,6.062123366313877,5.823866284854824,5.243473977885357,5.232142163212776,5.222544613737346
PCNT,C2CD3,CEP250,ODF2,KIAA0586,CEP89,6.0537092952277565,4.944222156816405,4.084434055552499,3.915077692381227,3.8999870160593755
C2CD3,PCNT,CEP290,TUBGCP6,TTC21B,BBS7,6.0537092952277565,5.823220002682165,5.655454959689964,5.209513588258366,5.177720368177465
PDE6D,CFAP20,IFT52,POC1A,TBC1D7,IFT46,6.044336322995017,5.906954316822981,5.0229598224629095,4.873649762992616,4.86947547438375
NPHP1,NPHP4,RPGRIP1L,IFT22,CEP290,B9D1,6.024088717495894,5.828104643488782,4.8497149583710115,4.773555314837082,4.496084117027682
DNAH10,DNAI1,DNAH9,ZMYND10,DNAAF1,DNAH11,6.0084749215296505,5.235153770103896,5.085409613875685,5.0630827498437405,4.976165129990717
KIF3A,ARL3,TTC21B,NME7,TUBB2A,SPAG16,5.961326299032361,5.8849145331767065,5.243473977885357,4.65627098627948,4.461274643419809
TUBGCP6,TUBGCP5,C2CD3,INPP5E,INPP5E,TUBGCP4,5.952163133010182,5.655454959689964,4.612925189942124,4.552760585335019,4.507482842859864
TUBGCP5,TUBGCP6,TUBGCP2,TUBGCP4,TUBGCP3,BBS1,5.952163133010182,4.854777733981669,4.837553534266561,4.3340020837799775,4.287353040934345
