,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
56,ABCC6,TRAPPC3L,0.6575342465753424,TUBB3,0.6527777777777778,ENTHD1,0.6206896551724138,TUBB2A,0.6125,TCIRG1,0.6081081081081081
57,ABCC8,ABCC9,0.8571428571428571,BIVM,0.5806451612903226,ABCC5,0.5111111111111111,ANKIB1,0.5,UBA6,0.5
58,ABCC9,ABCC8,0.8571428571428571,BIVM,0.53125,TTL,0.5151515151515151,ABCC5,0.5111111111111111,KIF14,0.4864864864864865
59,ABCD1,ABCD2,0.8571428571428571,ALDH18A1,0.7532467532467533,PGLS,0.75,ADK,0.75,PEX5,0.7468354430379747
60,ABCD2,ABCD1,0.8571428571428571,ATP7B,0.7951807228915663,SLC25A32,0.7951807228915663,SLC25A20,0.7777777777777778,UCKL1,0.7764705882352941
61,ABCD3,JMJD6,0.8125,MAP3K9,0.8082191780821918,ANAPC10,0.7816091954022989,CLCN7,0.7808219178082192,PTGES2,0.7777777777777778
62,ABCD4,YIPF4,0.625,PDE3B,0.5952380952380952,EEF2K,0.5925925925925926,LRRC57,0.5882352941176471,SDR42E1,0.5869565217391305
63,ABCE1,EIF3I,0.9175257731958762,EIF2S3,0.91,CCT4,0.91,PSMC5,0.9090909090909091,RPS15A,0.9090909090909091
64,ABCF1,CREBBP,0.7746478873239436,PUS10,0.7625,CFAP20,0.75,TMEM65,0.7428571428571429,CCNA2,0.7391304347826086
65,ABCF2,PGD,0.9021739130434783,DDX3X,0.8936170212765957,NAT10,0.8865979381443299,PKM,0.8854166666666666,MOCS3,0.8854166666666666
66,ABCF3,PUS3,0.8829787234042553,NLE1,0.8829787234042553,ELP3,0.8631578947368421,BMS1,0.8556701030927835,AURKA,0.8556701030927835
67,ABCG1,ABCG4,0.8307692307692308,NPLOC4,0.6588235294117647,CNOT6L,0.6551724137931034,TBC1D23,0.6470588235294118,SLC30A3,0.6447368421052632
68,ABCG2,DIMT1,0.845360824742268,GUK1,0.845360824742268,PUS3,0.84375,HSD17B12,0.8387096774193549,UBA1,0.8383838383838383
69,ABCG4,ABCG1,0.8307692307692308,CNOT6,0.625,SACM1L,0.625,PDHB,0.6222222222222222,DUT,0.6144578313253012
70,ABCG5,ABCG8,0.5813953488372093,TSN,0.5,PCSK1,0.5,USP22,0.49206349206349204,GNB5,0.49056603773584906
71,ABCG8,ABCG5,0.5813953488372093,MSMO1,0.5192307692307693,RABEPK,0.5,SERINC5,0.4791666666666667,AADACL2,0.4772727272727273
72,ABHD1,ABHD3,0.88,ISYNA1,0.8205128205128205,CBS,0.788235294117647,SGPL1,0.788235294117647,GPT,0.7857142857142857
73,ABHD10,DSEL,0.7142857142857143,ANKRD10,0.7142857142857143,KATNBL1,0.7142857142857143,SKAP2,0.7142857142857143,TMEM168,0.7142857142857143
74,ABHD11,FARS2,0.8414634146341463,OAT,0.8214285714285714,UPF2,0.8170731707317073,TCF25,0.8117647058823529,GCH1,0.8072289156626506
