Gene,Connections,Community,Degree,Weighted_Degree,Betweenness,WeightedDegreeZ,BetweennessZ,DegreeZ
TRAPPC3,"[('RAB1A', 7.357082698545833), ('ATP6V1D', 7.3653566152876095), ('MAPRE1', 7.071193282046136), ('TUBGCP2', 4.048294065768166), ('ARL2', 6.27552934071216), ('ARF4', 6.174359126695037), ('VDAC3', 5.875133820187013), ('CSNK1D', 4.131226688232291), ('SSNA1', 5.532764637075879), ('SLC47A2', 0.7437991148658382)]",0,10,54.57473938941596,0.0102121787131274,1.023149922827557,0.009967866617693322,0.7360318653638648
RAB10,"[('RAB1A', 6.790013140402428), ('RAB11A', 6.671056765258737), ('ATP6V1D', 6.623540275377931), ('ACTR2', 7.006482991345714), ('ACTR3', 7.680770414259169), ('PAFAH1B1', 6.3674420552754185), ('ATXN10', 5.356775714662794), ('DPYSL2', 5.0447792875324176), ('SNAP29', 4.4306359786029095), ('STK38L', 3.5353380411361903)]",1,10,59.50683466385372,0.002501293772641,1.2483484660162172,-0.5185883738656869,0.7360318653638648
GSK3B,"[('RAB11A', 6.560258926192157), ('EXOC6B', 6.501276802573868), ('TNPO1', 6.473977011147789), ('EXOC4', 6.383563420305714), ('PAFAH1B1', 6.184225267939591), ('RAB14', 5.109416541570353), ('FNBP1L', 4.959225846593462), ('ASAP1', 4.6145746040907305), ('STK38L', 4.107598088036145), ('MARK4', 2.8661006812159293)]",1,10,53.76021718966573,0.0026910470933241,0.9859589922854689,-0.5055813970305261,0.7360318653638648
MAPRE1,"[('TUBA1C', 7.917662889492779), ('ACTR3', 7.729994040396196), ('RAB8A', 7.197959024452926), ('TRAPPC3', 7.071193282046136), ('PLK1', 6.508849967844561), ('CFAP20', 5.856332062735854), ('RANBP1', 4.811177012498666), ('TUBA4A', 4.260349977094085), ('CSNK1D', 4.143018248684301), ('RAB8B', 4.020088640871448), ('EHD1', 4.114677835567567)]",0,11,63.63130298168452,0.0022425392444367,1.436670914168674,-0.536325160459093,1.0437615694646494
PLK1,"[('TUBA1C', 7.689455024336402), ('MAPRE1', 6.508849967844561), ('NEK2', 5.256001477105976), ('TTK', 5.050103871678382), ('POC1A', 4.641245034549951), ('SSNA1', 4.424386693697691), ('OXCT2', 1.024530777825466)]",0,7,34.59457284703843,0.0053475935828877,0.11085927399714397,-0.32348372133826175,-0.187157246938489
TUBA4A,"[('TUBA1C', 5.949860777096816), ('TUBB3', 4.998823998193305), ('EHD1', 4.401995246903942), ('MAPRE1', 4.260349977094085), ('TBCC', 3.970928289230168)]",0,5,23.581958288518315,0.0009142659996549,-0.3919746368014825,-0.6273739983052251,-0.8026166551400582
CLUAP1,"[('IFT46', 8.601816520287226), ('IFT88', 8.372731197988752), ('IFT172', 8.318382879659273), ('IFT57', 8.307686325198977), ('TRAF3IP1', 8.29446911657591), ('IFT140', 7.944033336712023), ('IFT122', 6.19722932619108), ('IFT52', 8.21180853634287), ('IFT80', 8.145885523222347), ('IFT22', 7.673885526348581), ('IFT20', 7.538278239076172), ('IFT74', 6.909064192147268), ('EFHC1', 6.583214921378307), ('UNC119B', 5.875729665099838), ('CBY1', 4.508940802781378), ('CEP41', 4.047430090427163), ('XPNPEP3', 4.374702134713983), ('DZIP1L', 3.2482615474510705)]",2,18,123.15354988160225,0.0019837847162325,4.154445519750533,-0.554061947052492,3.197869498170142
IFT46,"[('CLUAP1', 8.601816520287226), ('IFT52', 8.322685657061275), ('IFT57', 8.099098452729027), ('IFT172', 8.079712954786718), ('IFT88', 7.925714183733165), ('TRAF3IP1', 7.891154710523526), ('IFT81', 7.683899752613749), ('PDE6D', 4.86947547438375), ('EHD1', 3.685478433596789), ('MAK', 3.4784646429178885), ('AVIL', 2.622648621085794), ('KIF19', 2.5847008122449755), ('KIF17', 1.969934803626581)]",2,13,75.81478501959045,0.0093151630153527,1.9929664139984902,-0.051519660239433406,1.6592209776662186
IFT88,"[('CLUAP1', 8.372731197988752), ('IFT46', 7.925714183733165), ('IFT172', 8.353675428340628), ('IFT52', 8.055633305916572), ('IFT57', 8.052609920378293), ('TRAF3IP1', 8.052246192988076), ('IFT80', 7.912773096105054), ('WDR19', 6.383681158551032), ('IFT81', 7.886640221460403), ('IFT22', 7.377699104749778), ('IFT74', 7.096727734887688), ('ARL6', 4.574540385637183), ('SPAG16', 4.809134843854339), ('ULK4', 4.852888992270898), ('ARL13B', 4.769863756306408), ('KIF27', 3.2317343450935683)]",2,16,107.70829386826186,0.0059513541486976,3.4492180332890805,-0.2820978859536568,2.582410089968573
IFT172,"[('CLUAP1', 8.318382879659273), ('IFT46', 8.079712954786718), ('IFT88', 8.353675428340628), ('IFT80', 7.933963919251802), ('IFT57', 7.915923034501858), ('IFT52', 7.8111617638797215), ('IFT81', 7.624407970167654), ('IFT20', 7.461352583851951), ('KIF3B', 5.731550110314604), ('POC1B', 4.64616256556033), ('CEP104', 4.31736123810035), ('DZIP1', 3.3771108879833105)]",2,12,81.5707653363982,0.0013627738485423,2.2557833933634064,-0.5966302348766583,1.351491273565434
