Gene,Community,Degree,Weighted_Degree,Betweenness
BBS1,2,11,64.5551021780444,0.007020872865275143
BBS7,2,11,69.01401965161583,0.001656028980507159
BBS4,2,10,55.841496369800865,0.010557184750733138
BBS2,2,7,52.293994775375005,3.450060376056581e-05
TTC8,2,9,58.00581954219316,0.0028290495083663964
CC2D2A,4,13,62.70849100619989,0.018682076936346388
B9D2,4,9,52.26020685880804,0.001656028980507159
TMEM67,4,9,56.91341549713118,0.003467310677936864
ARL3,2,11,61.048869647128406,0.0036053130929791276
MKS1,4,7,44.48609841556827,0.00010350181128169743
AHI1,4,5,32.48696019189054,0.0
EXOC4,1,14,87.15280554627138,0.002225288942556495
EXOC6,1,8,42.78675489704627,0.002225288942556495
EXOC5,1,9,49.24272502076554,0.0040883215456270485
EXOC3,1,6,30.71212665926854,0.0007762635846127307
EXOC6B,1,7,36.914542500806824,0.004191823356908746
PAFAH1B1,1,10,54.39244767618859,0.0012075211316198034
TTC17,1,16,87.24293122519006,0.004226323960669312
IFT80,2,7,48.2311436898748,0.00010350181128169743
RAB8B,0,6,27.281268449177375,0.0008280144902535794
TUBB2A,0,6,33.08243822280735,0.001638778678626876
DYNLT1,2,6,35.22496194203038,0.0026392961876832845
TUBB3,0,5,21.500737286683616,5.1750905640848716e-05
IFT81,2,8,59.70047740395846,0.00010350181128169743
BBS9,2,10,62.50590062739279,0.005209591167845438
IFT22,2,26,135.94655551609895,0.028014490253579438
RAB8A,0,5,29.170863445144242,0.0008107641883732966
TUBGCP2,5,6,28.777858423007398,0.0019492841124719685
TUBGCP3,5,9,42.6757934412402,0.002001035018112817
TUBGCP5,5,10,40.19133087828385,0.0141279972399517
CSNK1D,0,6,25.037478372241942,0.002190788338795929
TUBGCP4,5,8,30.58695260155098,0.0037605658099016735
ORC1,5,6,19.119594916904134,0.010522684146972572
IFT20,2,8,56.31208558209662,0.00018975332068311198
TMEM237,6,19,72.1466145409835,0.0275487321028118
TCTN2,6,14,58.22348815460336,0.01223046403312058
TCTN1,6,13,53.58404383681632,0.008262894600655513
TMEM216,4,5,26.081709663421528,0.00048300845264792136
TCTN3,4,6,32.13975966929699,5.1750905640848716e-05
TRIM32,6,8,27.508598473459475,0.0021735380369156464
TMEM231,4,6,35.46506901446978,6.900120752113163e-05
EVC2,6,12,42.688155051362195,0.0043643263757115755
DRC1,3,9,48.280623173144726,0.0021390374331550803
DNAI2,3,6,36.68715450782495,8.625150940141454e-05
CFAP20,2,8,44.886188445377186,0.00034500603760565814
TBCC,0,9,42.178578850732514,0.02154562704847335
PDE6D,2,7,29.247448233510312,0.0018457823011902709
TOPORS,2,7,29.38519204761401,0.0026737967914438505
DNAAF2,2,9,35.57622619524469,0.014041745730550287
NEK2,5,6,17.991892902287283,0.009832672071761257
TTK,5,5,17.2684791668904,0.0012247714335000865
POC1A,2,10,46.664259769969526,0.0032430567534931865
TUBB2B,0,5,18.39485062279574,0.00593410384681732
SPAG6,3,7,48.682874447359154,0.0
DNAI1,3,10,51.515233862443274,0.0016042780748663102
EFHC1,2,14,70.07748165987408,0.018613075728825257
DNAL1,2,7,40.151515749603284,0.0008107641883732966
NUP62,5,9,43.154456194244176,0.011057443505261343
NUP93,5,6,33.78900773527042,0.0013455235466620667
NUP35,5,11,45.73667684487376,0.030464033120579614
NUP214,5,5,28.072409878648635,0.00010350181128169743
JADE1,2,5,18.060637006894545,0.0022942901500776266
NUP37,5,11,51.3670959007084,0.010074176298085217
TNPO1,1,8,40.223595838752935,0.0011212696222183888
SUFU,7,9,35.05571244916514,0.006951871657754011
GLI1,7,7,25.77948274865797,0.002415042263239607
CROCC,6,6,22.409695101923944,0.001104019320338106
RILPL1,7,8,26.705408192466287,0.010884940486458513
TBC1D30,7,11,30.785087311401153,0.01904433327583233
