Gene_1,Gene_2,Phylogenetic_Jaccard_Similarity
HTR6,RSPH1,0.27586206896551724
HTR6,RTTN,0.5357142857142857
HTR6,SLC47A2,0.14285714285714285
HTR6,SASS6,0.25
HTR6,SCLT1,0.6190476190476191
HTR6,SDCCAG8,0.7
HTR6,POMK,0.6666666666666666
HTR6,SHH,0.4666666666666667
HTR6,SMO,0.5714285714285714
HTR6,SNAP25,0.3333333333333333
HTR6,SNX10,0.8235294117647058
HTR6,SPA17,0.7368421052631579
HTR6,SPAG6,0.25806451612903225
HTR6,SPATA7,0.8235294117647058
HTR6,SPEF2,0.38095238095238093
HTR6,SPAG16,0.23076923076923078
HTR6,SPAG17,0.5714285714285714
HTR6,SSNA1,0.2631578947368421
HTR6,SSTR3,0.37037037037037035
HTR6,STK38L,0.15384615384615385
HTR6,STIL,0.8421052631578947
HTR6,STK36,0.2459016393442623
HTR6,STOML3,0.24390243902439024
HTR6,STX3,0.4827586206896552
HTR6,SUFU,0.48484848484848486
HTR6,SYNE2,0.5833333333333334
HTR6,TUBA1A,0.14
HTR6,TUBA1C,0.13861386138613863
HTR6,TUBA4A,0.12643678160919541
HTR6,TUBB2A,0.125
HTR6,TUBB2B,0.12087912087912088
HTR6,TUBB3,0.12658227848101267
HTR6,TBC1D30,0.4166666666666667
HTR6,TBC1D7,0.5517241379310345
HTR6,TUBE1,0.2711864406779661
HTR6,TCTN3,0.4
HTR6,TCTN2,0.8823529411764706
HTR6,TCTN1,0.7222222222222222
HTR6,TEKT2,0.45161290322580644
HTR6,TEKT4,0.6086956521739131
HTR6,TEKT5,0.39285714285714285
HTR6,LRRC6,0.234375
HTR6,TMEM138,0.5185185185185185
HTR6,TMEM216,0.48
HTR6,TMEM231,0.4166666666666667
HTR6,TMEM237,0.8235294117647058
HTR6,TNPO1,0.1368421052631579
HTR6,NGFR,0.75
HTR6,TOPORS,0.4
HTR6,TRAPPC10,0.2542372881355932
HTR6,TRAPPC3,0.16494845360824742
HTR6,TRAPPC9,0.3125
HTR6,TPPP2,0.3
HTR6,TRIM32,0.8125
HTR6,TRIP11,0.4117647058823529
HTR6,TTC21B,0.24242424242424243
HTR6,TTC30A,0.2318840579710145
HTR6,TTC30B,0.2318840579710145
HTR6,TTC12,0.6190476190476191
HTR6,TTBK2,0.3111111111111111
HTR6,TTC26,0.25396825396825395
HTR6,TTC29,0.6363636363636364
HTR6,TTC8,0.25
HTR6,TTK,0.2413793103448276
HTR6,TTLL3,0.29545454545454547
HTR6,TTLL6,0.19718309859154928
HTR6,TTLL9,0.25925925925925924
HTR6,TULP1,0.18333333333333332
HTR6,TULP3,0.20634920634920634
HTR6,NME8,0.4411764705882353
HTR6,ULK4,0.32
HTR6,USH1G,0.45161290322580644
HTR6,USH2A,0.6666666666666666
HTR6,USH1C,0.5384615384615384
HTR6,VDAC3,0.23636363636363636
HTR6,VHL,0.7
HTR6,WDR19,0.24193548387096775
HTR6,WDR35,0.21739130434782608
HTR6,WDR60,0.3404255319148936
HTR6,WDR78,0.2830188679245283
HTR6,DFNB31,0.4838709677419355
HTR6,XPNPEP3,0.21333333333333335
HTR6,RP2,0.25862068965517243
HTR6,ZNF423,0.6818181818181818
HTR6,CCDC151,0.3409090909090909
HTR6,UNC119B,0.2545454545454545
HTR6,PROM1,0.42857142857142855
HTR6,CABYR,0.47058823529411764
HTR6,AKAP3,0.5
HTR6,SNAP29,0.358974358974359
HTR6,UMOD,0.55
HTR6,RHO,0.52
HTR6,GNAT1,0.22727272727272727
HTR6,PRKACA,0.15294117647058825
HTR6,GNAT2,0.2222222222222222
HTR6,ARL2,0.14893617021276595
HTR6,SCNN1A,0.52
HTR6,RAB15,0.7777777777777778
HTR6,TAS2R43,0.625
HTR6,RAB10,0.19444444444444445
HTR6,RAB14,0.25
HTR6,TBCC,0.19736842105263158
HTR6,AKAP4,0.5882352941176471
HTR6,TCTEX1D4,0.5
HTR6,ARMC4,0.3076923076923077
HTR6,CEP162,0.5357142857142857
HTR6,AGBL2,0.2777777777777778
HTR6,AGBL4,0.3333333333333333
HTR6,CCSAP,0.7058823529411765
HTR6,DZIP1,0.5161290322580645
HTR6,DZIP1L,0.34210526315789475
HTR6,PGAM4,0.09859154929577464
HTR6,POC1B,0.22413793103448276
HTR6,DNAH7,0.20967741935483872
HTR6,HAVCR1,0.5625
HTR6,C5orf30,0.875
HTR6,MARK4,0.21052631578947367
HTR6,CEP19,0.6666666666666666
HTR6,ADCY10,0.24
HTR6,KIAA0586,0.75
HTR6,OXCT2,0.140625
