,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
108,ACAA2,CPT2,2.268002255561824,ATL2,2.1947574700044647,FOXRED1,2.1721965464986623,CKM,2.1638348056188894,ATL1,2.1638348056188894
109,ACACA,ACACB,3.5460406474319677,ATP7B,3.364088928843717,GMPS,3.3239558885788556,RER1,3.312949448820797,ATP7A,3.251726127666597
110,ACACB,ACACA,3.5460406474319677,GMPS,3.3239558885788556,ATP7A,3.251726127666597,ATP7B,3.245319035917902,RER1,3.1974600020981017
111,ACAD10,SVOP,2.32772492686244,CRYZ,2.170443278249678,LDHD,2.1638348056188894,PHYHD1,2.157809433514347,PIR,2.0845331340494293
112,ACAD11,PIR,2.057871365159697,ACAD10,1.962696929547259,SH3YL1,1.9286221316119416,NPHP3,1.9004399679060402,THNSL2,1.8299845586412862
113,ACAD8,UROC1,1.573068089508416,MCEE,1.5199807578763684,LZIC,1.486897348308571,TK1,1.4665829740125549,PRKDC,1.4591072842716215
114,ACAD9,NADK2,1.8053251653986222,FBXO30,1.740892557248436,SFRP2,1.740892557248436,SLC24A2,1.6969385299831923,LEF1,1.6095005720009974
115,ACADL,SMPD3,2.2491942437665724,SLC38A4,2.2491942437665724,RELN,2.181648949232319,SH3PXD2A,2.1638348056188894,FOXRED2,2.027259704582597
116,ACADM,ANO1,2.417864493546393,RBPJ,2.340579054018797,CPT1B,2.2808991779357117,HADHA,2.2808991779357117,ACADVL,2.2808991779357117
117,ACADS,SLC24A4,2.6879020537814062,SLC24A2,2.529024749694193,SLC24A3,2.440161172831853,HYKK,2.4077189146122686,SLC39A11,2.266266131396109
118,ACADSB,ECHS1,2.452373751470211,GTPBP1,2.416405197946279,ACO2,2.2704756379348985,IVD,2.2608750089867815,HID1,2.2403168621992133
119,ACADVL,PAM,3.1833838156805134,PAM,3.1833838156805134,RAPGEF6,3.136932400502472,PHKG2,3.1198605128729358,ARHGAP17,3.0232586121399483
120,ACAN,ZHX2,3.802736018054397,HP1BP3,3.802736018054397,LRFN2,3.802736018054397,CRYBB2,3.802736018054397,RTN4RL1,3.802736018054397
121,ACAP1,ACAP2,2.0845331340494293,BRWD3,2.027259704582597,DMWD,1.9660363834283971,ACAP3,1.9427132134648926,CELF5,1.8742014016970976
