,scGPT_bc_embeddings_similarities,scGPT_pancancer_embeddings_similarities,scGPT_CP_embeddings_similarities,scGPT_lung_embeddings_similarities,scGPT_heart_embeddings_similarities,scGPT_brain_embeddings_similarities,scGPT_kidney_embeddings_similarities,scGPT_human_embeddings_similarities,GF-6L30M_HUMANemb_similarities,GF-20L95M_HUMANemb_similarities,GF-12L95M_HUMANemb_similarities,GF-12L95MCANCER_UNIPROT_HUMANemb_similarities,GF-12L30M_HUMANemb_similarities,Correlation,Same_Complex,GeneAB,Random Forest_n10000 predictions,Random Forest_n10000 probabilities,Gene_A,Gene_B,Phylogenetic_Jaccard_Similarity,prob_z,jaccard_z,composite_score
16582,0.20360475778579712,0.3301345705986023,0.33977022767066956,0.05599921941757202,-0.06281871348619461,0.35208967328071594,-0.06790496408939362,0.3405008316040039,0.5772333741188049,0.3208130896091461,0.8694589138031006,0.8948081731796265,0.8308239579200745,0.4399194330506866,0,DNAI1_CCDC40,1,0.6696,DNAI1,CCDC40,0.7313432835820896,0.26552932534176227,1.3429068547267378,1.6084361800685
24281,0.21784448623657227,0.29524701833724976,0.25465670228004456,0.1697378158569336,0.05529206618666649,0.12626253068447113,0.016956821084022522,0.2608538568019867,0.6354252099990845,0.2612836956977844,0.8100540637969971,0.8774807453155518,0.8924770355224609,0.186922530588239,0,RSPH4A_HYDIN,1,0.6016,RSPH4A,HYDIN,0.8360655737704918,-0.3364270393590434,1.9379128546676188,1.6014858153085754
11122,0.10554983466863632,0.2173183411359787,0.301033616065979,0.03271302580833435,0.01432133000344038,-0.004928749054670334,-0.024001868441700935,0.3021135926246643,0.45247146487236023,0.14887219667434692,0.8727478981018066,0.9098351001739502,0.8621976971626282,0.3776035700773139,0,UNC119B_RSPH3,1,0.7229,UNC119B,RSPH3,0.6470588235294118,0.7373568876734237,0.8640235210744843,1.601380408747908
17422,0.21568143367767334,0.16878582537174225,0.20108279585838318,0.06915067136287689,0.05749884992837906,0.1612187623977661,0.07897419482469559,0.20126767456531525,0.29957717657089233,0.15180906653404236,0.8040686249732971,0.8198716044425964,0.834399938583374,0.40774718529619214,0,RAB8B_EXOC5,1,0.685,RAB8B,EXOC5,0.7058823529411765,0.40185473734753374,1.1982441810192863,1.60009891836682
11361,0.06246960163116455,0.16008712351322174,0.1902380734682083,0.13082987070083618,0.1556958258152008,0.06073467805981636,0.13361406326293945,0.19009020924568176,0.10655246675014496,0.08342480659484863,0.6352816224098206,0.7190892696380615,0.7399765253067017,0.1655741048791409,0,PAFAH1B1_ACTR3,1,0.7539,PAFAH1B1,ACTR3,0.5955056179775281,1.0117781715811442,0.571111032583534,1.5828892041646783
8967,0.2682967782020569,0.4665481150150299,0.3343312442302704,0.22174805402755737,0.025715626776218414,0.2513449490070343,0.0438118651509285,0.3338969945907593,0.6333993077278137,0.22930656373500824,0.8069323897361755,0.880351722240448,0.8805415630340576,-0.18462005029047024,0,DYNC2H1_DNAH7,1,0.756,DYNC2H1,DNAH7,0.5921052631578947,1.030368000491022,0.5517910624418398,1.582159062932862
29136,0.158565491437912,0.2903793752193451,0.26013457775115967,0.10271213203668594,0.03298943117260933,0.29605042934417725,0.055477574467659,0.25932490825653076,0.3072860836982727,0.13348820805549622,0.712483286857605,0.8163919448852539,0.7860006093978882,0.4868380532588281,0,WDPCP_NME7,1,0.8768,WDPCP,NME7,0.4029850746268656,2.0997257777830423,-0.5227427992935009,1.5769829784895415
2278,0.2434055507183075,0.35652074217796326,0.34843409061431885,0.29331138730049133,0.04869130998849869,0.3002598285675049,-0.002824801951646805,0.3545449674129486,0.6622542142868042,0.25676876306533813,0.8230656385421753,0.8696776628494263,0.8879764080047607,-0.09953547995537448,0,DNAH6_HYDIN,1,0.6847,DNAH6,HYDIN,0.7014925373134329,0.3991990475032648,1.1733023407248981,1.5725013882281629
29534,0.17015495896339417,0.2229526787996292,0.14959953725337982,0.06418399512767792,0.004482347518205643,0.012781248427927494,-0.013204621151089668,0.15031331777572632,0.28623321652412415,0.16673709452152252,0.8284481763839722,0.8635767698287964,0.8374334573745728,0.290713835624842,0,IFT52_TBCC,1,0.7118,IFT52,TBCC,0.6588235294117647,0.6390963634354979,0.9308676530634444,1.5699640164989423
13607,0.18492969870567322,0.24566689133644104,0.23050078749656677,0.16656750440597534,0.0469062477350235,0.24372808635234833,0.020679278299212456,0.2425239086151123,0.3910597562789917,0.20950478315353394,0.8089786767959595,0.8577308654785156,0.7913243770599365,0.40598140363471447,0,B9D1_HYDIN,1,0.6717,B9D1,HYDIN,0.7183098591549296,0.28411915425163997,1.2688541795991741,1.552973333850814
6713,0.07590720057487488,0.19621579349040985,0.23048174381256104,0.005984943360090256,0.03583240136504173,0.3074728548526764,0.038394421339035034,0.22992008924484253,0.2502334713935852,0.09508131444454193,0.700624406337738,0.7908312678337097,0.7813891172409058,0.1665241364516054,0,PCM1_SCLT1,1,0.7046,PCM1,SCLT1,0.6666666666666666,0.5753598071730598,0.9754304077227512,1.550790214895811
6489,0.1495533585548401,0.140652596950531,0.11668267846107483,0.0393848717212677,0.07822710275650024,0.014308016747236252,0.06174909695982933,0.11678473651409149,0.008862361311912537,0.06047944724559784,0.6252843737602234,0.7251004576683044,0.7173252105712891,0.4915562976056051,0,RAB11A_ACTR3,1,0.6221,RAB11A,ACTR3,0.7941176470588235,-0.1549549000007125,1.699575170936489,1.5446202709357766
15420,0.14108285307884216,0.2599900960922241,0.19911137223243713,0.07738210260868073,0.04564884677529335,0.17333021759986877,0.01305462047457695,0.20025542378425598,0.3738749623298645,0.2559624910354614,0.8693012595176697,0.9084814786911011,0.8688506484031677,0.3774600543834531,0,B9D2_CLUAP1,1,0.6126,B9D2,CLUAP1,0.8088235294117647,-0.23905174506920704,1.7831303359226898,1.5440785908534826
22080,0.11458645761013031,0.20368409156799316,0.2366357147693634,0.2004353404045105,0.010191388428211212,0.26748067140579224,0.03686513751745224,0.2361326664686203,0.13877426087856293,0.11910928785800934,0.6887935400009155,0.7685530781745911,0.7430213093757629,0.24566660109270183,0,DPCD_DYNLT1,1,0.8104,DPCD,DYNLT1,0.5,1.511933092251667,0.028471871212478964,1.540404963464146
29200,0.21518677473068237,0.4115055501461029,0.33265918493270874,0.09609490633010864,-0.009802242740988731,0.35031574964523315,0.016956986859440804,0.3323942720890045,0.41803574562072754,0.24068042635917664,0.770689845085144,0.8288207650184631,0.794316828250885,0.4918818382482649,0,WDPCP_BBS9,1,0.8042,WDPCP,BBS9,0.509090909090909,1.457048835470123,0.0801241550221299,1.5371729904922529
