gene_name,complex_id
KAT6A,CPX-727
MEAF6,CPX-727
BRD1,CPX-733
ING5,CPX-733
KAT6A,CPX-733
MEAF6,CPX-733
IL10,CPX-735
ING5,CPX-736
KAT6A,CPX-736
MEAF6,CPX-736
BRPF3,CPX-736
BRPF1,CPX-738
KAT6B,CPX-738
ING5,CPX-738
MEAF6,CPX-738
BRD1,CPX-739
KAT6B,CPX-739
ING5,CPX-739
MEAF6,CPX-739
KAT6B,CPX-740
ING5,CPX-740
MEAF6,CPX-740
BRPF3,CPX-740
RNASEH2A,CPX-745
RNASEH2B,CPX-745
RNASEH2C,CPX-745
CGA,CPX-748
CGB3; CGB5; CGB8,CPX-748
SMARCA5,CPX-757
BAZ1B,CPX-757
TP53,CPX-759
MDM2,CPX-759
RRAGB,CPX-767
RRAGD,CPX-767
SMARCA5,CPX-785
POLE3,CPX-785
CHRAC1,CPX-785
BAZ1A,CPX-785
GINS1,CPX-787
GINS4,CPX-787
GINS3,CPX-787
GINS2,CPX-787
VCL,CPX-791
TLN1,CPX-791
POLB,CPX-793
XRCC1,CPX-793
LIG3,CPX-793
APTX,CPX-793
APLF,CPX-793
PNKP,CPX-793
TDP1,CPX-793
OGT,CPX-809
HCFC1,CPX-809
WDR5,CPX-809
KANSL1,CPX-809
MCRS1,CPX-809
PHF20,CPX-809
KAT8,CPX-809
KANSL2,CPX-809
KANSL3,CPX-809
MSL1,CPX-815
MSL3,CPX-815
KAT8,CPX-815
MSL2,CPX-815
RARA,CPX-816
RXRA,CPX-816
NCOA2,CPX-816
TGFBR1,CPX-834
TGFBR2,CPX-834
BRCA1,CPX-845
BRCA2,CPX-845
PALB2,CPX-845
ACTL6A,CPX-846
TFPT,CPX-846
YY1,CPX-846
INO80D,CPX-846
NFRKB,CPX-846
INO80C,CPX-846
INO80E,CPX-846
MCRS1,CPX-846
INO80B,CPX-846
ACTR8,CPX-846
ACTR5,CPX-846
INO80,CPX-846
RUVBL2,CPX-846
RUVBL1,CPX-846
UCHL5,CPX-846
IL13,CPX-847
IL13RA2,CPX-847
TMEM219,CPX-847
WDR4,CPX-848
METTL1,CPX-848
ANXA2,CPX-850
S100A10,CPX-850
AHNAK,CPX-850
ANXA2,CPX-853
S100A10,CPX-853
ANXA2,CPX-856
S100A10,CPX-856
HLTF,CPX-856
BAK1,CPX-860
VDR,CPX-871
RXRB,CPX-871
GOLGA2,CPX-874
GORASP1,CPX-874
YPEL5,CPX-876
MAEA,CPX-876
ARMC8,CPX-876
GID4,CPX-876
RANBP9,CPX-876
WDR26,CPX-876
RMND5A,CPX-876
GID8,CPX-876
MKLN1,CPX-876
MTA2,CPX-880
RBBP4,CPX-880
CHD3,CPX-880
MTA1,CPX-880
HDAC1,CPX-880
CHD4,CPX-880
RBBP7,CPX-880
GATAD2A,CPX-880
GATAD2B,CPX-880
HDAC2,CPX-880
MTA3,CPX-880
MBD2,CPX-880
MTERF4,CPX-885
NSUN4,CPX-885
KRT14,CPX-888
KRT5,CPX-888
NONO,CPX-889
PSPC1,CPX-889
TSN,CPX-890
TSNAX,CPX-890
SUPT5H,CPX-891
SUPT4H1,CPX-891
TLR2,CPX-892
TLR6,CPX-892
TLR2,CPX-893
TLR1,CPX-893
KCNQ1,CPX-902
TAF4,CPX-903
ATXN7,CPX-903
SUPT3H,CPX-903
TADA3,CPX-903
TAF5L,CPX-903
TAF6,CPX-903
TAF10,CPX-903
ATXN7L3,CPX-903
TAF5,CPX-903
TAF7,CPX-903
TAF12,CPX-903
TAF9,CPX-903
TAF2,CPX-903
KAT2A,CPX-903
ENY2,CPX-903
USP22,CPX-903
TRRAP,CPX-903
NLGN1,CPX-909
CEBPE,CPX-912
CSNK2B,CPX-914
CSNK2A1,CPX-914
TAF4,CPX-915
TBP,CPX-915
TAF1,CPX-915
TAF6,CPX-915
TAF10,CPX-915
TAF5,CPX-915
TAF13,CPX-915
TAF11,CPX-915
TAF7,CPX-915
TAF12,CPX-915
TAF9,CPX-915
TAF3,CPX-915
TAF2,CPX-915
TAF8,CPX-915
MTA2,CPX-922
MBD3,CPX-922
RBBP4,CPX-922
CHD3,CPX-922
MTA1,CPX-922
HDAC1,CPX-922
CHD4,CPX-922
RBBP7,CPX-922
GATAD2A,CPX-922
GATAD2B,CPX-922
HDAC2,CPX-922
MTA3,CPX-922
NXF2; NXF2B,CPX-925
NXT1,CPX-925
GUCY1A1,CPX-928
GUCY1B1,CPX-928
TBP,CPX-930
TAF1,CPX-930
TAF6,CPX-930
TAF10,CPX-930
TAF5,CPX-930
TAF13,CPX-930
TAF11,CPX-930
TAF7,CPX-930
TAF12,CPX-930
TAF9,CPX-930
TAF3,CPX-930
