,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
156,ACOT8,EXOSC1,7.84779407948608,TM7SF2,7.797491761561482,PPIE,7.745916664509948,ELOF1,7.692523474895041,DCPS,7.643535777329622
157,ACOT9,TIMM17A,9.041936389224388,EIF4E2,8.984244280807223,HCCS,8.774674214733754,PSMD13,8.566923684867557,MRPL15,8.560089712986567
158,ACOX1,ARF3,8.67854189276451,IDH1,8.253493344446998,QSOX1,7.9785140990131715,TMEM33,7.864942853159287,PNPO,7.808079048759349
159,ACOX2,NUBP1,7.764855280105816,FAH,7.619302874369772,NSDHL,7.57552282777361,ALG2,7.311500910325195,PPIL1,7.237729352836928
160,ACOX3,ALG1,7.516066587063435,VPS52,7.430457134990143,INTS4,7.12171261327592,SENP8,6.899754698574472,NME6,6.872687423112254
161,ACOXL,ARHGEF38,4.893635254245046,SENP8,4.520954974748778,SLC50A1,4.373361310799113,LRRC36,4.290227453618325,BMP1,4.091068918057372
162,ACP1,DAD1,10.428383989528712,DDOST,10.324842066051524,AP2M1,10.235836698085715,CCT8,10.034753562506646,ADH5,9.95910838256916
163,ACP2,NAGK,9.249243114130548,FUCA2,9.038100893349736,GAA,8.560745863758022,SPNS1,8.529607908706023,POLDIP2,8.499009860518692
164,ACP5,SPNS1,7.47325320688346,SPG21,7.377663561952006,CYB5R3,7.157579799030228,MRC1,7.092840919531099,ATP6V1E1,6.998865886444913
165,ACP6,GCDH,6.381651700748958,POLL,6.184394266683458,RNF25,6.0707762790906035,MECR,6.009024474260496,TACO1,5.757174662599254
166,ACR,TSGA13,6.985378627604444,SPATA32,6.316321907952818,TCEANC,5.958992699754894,DKKL1,5.919586029967474,LRRC8E,5.859619358551836
167,ACRBP,MAP3K7CL,6.982940867277744,PF4,6.560670287103161,TMEM40,6.466238586491915,GP9,6.322872247098136,BMF,6.261233649655448
168,ACRV1,OR10G3,8.017808085045424,OR2F1,7.848188071612616,SIGLECL1,7.817797106258526,DKKL1,7.788221400196977,NUTM2B,7.689704725728428
169,ACSBG1,SLC25A18,5.33974482242098,JADE3,4.887710537474496,MTMR10,4.489294134285324,DLAT,3.9995406625797965,CABLES1,3.930252123187274
170,ACSBG2,WDR83,5.728549348171939,CCDC63,4.9645018008974215,AGBL2,4.8553418370867645,PIWIL3,4.738384256021028,SLC36A3,4.717167485664751
171,ACSF2,COG4,8.398179700164341,NDUFAF1,8.015814287338936,ADCK1,7.9677975488697825,PAN2,7.925787659694642,DUS2,7.917907556904845
172,ACSF3,VPS51,8.200711050596187,SLU7,7.925504156062618,ERCC3,7.847096454737024,COPS7B,7.838397343551728,DRG2,7.793037535029921
173,ACSL1,ETF1,10.329445882933236,FKBP5,9.064360137363753,PGD,9.0509889884169,GK,8.937686369317813,RAB1A,8.801717176686124
174,ACSL3,UGP2,10.063787199323972,HSD17B12,8.553252369361765,CHKA,8.447285401686912,ARIH1,8.408434313500926,CHD2,8.376740875236068
175,ACSL4,CLTC,8.526715306739588,HMGCR,8.432907115968437,TRIP12,8.150724234748644,TOP1,8.107165001485063,PICALM,7.940224705965885
