,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
60,ABCD2,EED,6.293607841999875,LTN1,6.196774168871519,ATAD1,6.18673206740104,DIMT1,5.928719500586266,ERCC5,5.725719191267693
61,ABCD3,SLC35D1,7.790040233192097,PTP4A1,7.37970884107734,ACOX1,7.32315327077009,POR,6.547311276700572,PSMD14,6.351577483944521
62,ABCD4,GPR108,7.505176975636242,ATG9A,7.488953225396144,TMUB2,7.311052350628968,HMGCL,7.248450328499777,DMAP1,7.218144029621874
63,ABCE1,RSL24D1,10.80508291727544,CCT3,10.608568286518622,EIF1AX,10.5200229543668,EIF2S1,10.446960177425574,CCT4,10.445548747685732
64,ABCF1,GTPBP4,9.628012855828185,EIF5B,9.479928471153078,PA2G4,9.360612487667488,DDX46,9.353615100195839,EIF1AX,9.309708702080927
65,ABCF2,GNL2,10.218625747552837,DKC1,10.209220621484615,MRTO4,10.1791416658861,FARSA,10.07729394437021,CCT7,10.028180232921274
66,ABCF3,EIF2B1,9.049411072969402,APEH,9.036300540008751,USP5,8.983234904511363,ELAC2,8.863108337926855,GPN1,8.84760538083761
67,ABCG1,ESYT1,7.119273737861294,GPCPD1,6.8653130448963395,KAT8,6.719586505512495,PNPLA6,6.590733462749588,CTSL,6.246210706511878
68,ABCG2,ZDHHC3,6.1095084871352885,AP1B1,5.718369491420407,ENO3,5.086838416342556,AKR1B1,4.913691297544013,KAT2B,4.882262758539502
69,ABCG4,RAB6C,6.282239754666808,CRX,5.754337455138124,TULP1,5.67221551570297,FEM1A,5.59188241870052,ZC3H10,5.259474741120443
70,ABCG5,ABCG8,6.198932559417551,CYP3A43,5.684448824050491,PFKFB1,5.136811681935786,BCDIN3D,4.407759255901349,CA5A,4.39805475292119
71,ABCG8,ABCG5,6.198932559417551,KCNU1,5.215532688229715,MIOX,5.047667280346937,DLAT,4.718234289936523,WEE2,4.538910909388198
72,ABHD1,PIGV,7.394394774617381,EIF2B4,7.2183280414556705,DOHH,6.9436574392356025,NSDHL,6.697964064200564,NDOR1,6.6896072525749934
73,ABHD10,C3orf38,8.964832456324274,TMEM126A,7.921649248484503,GEMIN6,7.80712474982025,TMEM263,7.572063100866367,FBXO4,7.468865258945648
74,ABHD11,CYC1,9.171440870316532,RER1,8.12196521189205,PDHA1,7.948127923145128,COQ9,7.939699621895468,PCYT2,7.894363782908089
75,ABHD12,PLD3,8.720079175031609,GLB1,8.261679822146212,PRPSAP1,8.09686314385383,CLPTM1,7.967794034447053,HEXB,7.815453386685617
76,ABHD12B,INPP5A,4.685506645201297,ENPP5,4.44425724881591,CYP2J2,4.3495889676411945,POMT2,4.312609314378718,DVL1,4.220947241800028
77,ABHD13,CWC22,8.77279546646802,ABT1,8.703169047900861,COG3,8.508560219618056,ISCA1,8.503395053803715,PPP6C,8.366658400242766
78,ABHD14A,ECH1,6.965538241139391,TMEM203,6.816067063910287,ARL2,6.791522867617616,MRPS33,6.753343438038991,PIGH,6.752061988142961
79,ABHD14B,ACOT2,8.509347423334667,MRPL45,8.222746192861432,MRPL43,8.097920661927416,TEX264,8.08438286807203,TOMM22,7.999341441571179
80,ABHD15,MIXL1,6.260307970517657,ZDHHC24,5.738141245471145,JADE2,5.7324015591129385,RNPEPL1,5.712409052755383,MCTP2,5.529517602682347
81,ABHD16A,MRPL38,8.204663340579978,NCSTN,6.853883157833364,GET4,6.6967302311128,B3GAT3,6.624096685426043,ABHD12,6.588206735107118
82,ABHD16B,NPHS1,3.047072131461313,MTA2,2.4612068569244947,SAMD4B,2.453893325661256,BOLL,2.3597941971339784,TMEM185B,2.298251928374273
83,ABHD17A,GSK3A,9.221062151524421,TXNL4A,9.19082524973739,STUB1,8.768118632102533,CTDSP1,8.576940102306011,DYNLL2,8.521754780464244
84,ABHD17B,POC1B,7.980486549659906,SPTLC2,7.0720011476974864,AP3M1,6.894817595076114,TAPT1,6.668420933967617,GTF2H2,6.666631139296779
85,ABHD17C,CNNM4,5.066943169088238,GMDS,4.997917106032476,NLE1,4.99655262928381,PI4KB,4.9362460876585725,TOP3B,4.882472457472896
86,ABHD2,LPP,7.525960290358472,TRAK1,7.382700273407793,CDC42BPA,7.318339855791664,HOOK3,7.218643747665502,ITCH,7.143591152442188
87,ABHD3,VTI1A,8.396225797029892,AHSA1,8.113309649016497,NOP56,7.9607512028532845,TAF12,7.423619753736551,MLH1,7.383827915703539
88,ABHD4,WDR45,8.487120971139191,EIF2B2,8.3724482851691,GPN1,7.823684525331825,CRAT,7.745026417442375,PCYT1A,7.4391792443721405
89,ABHD5,CAT,9.004309273314366,ATP6V0D1,8.454923227707656,ETF1,8.160349211968523,CWC25,7.689407186005567,INTS6,7.203540334328668
90,ABHD6,FARP2,5.525437396042078,MAP7D2,5.110776922698638,SLC39A11,4.937475637035212,MGAT3,4.840512223969542,MECR,4.83702917106926
91,ABHD8,MPND,7.324393220075936,GRIPAP1,7.229282421940213,FBXL12,6.792960326181101,TMEM175,6.759976096520924,FBXL15,6.7523853979171005
92,ABI1,MED13L,8.889704925834495,TMEM50A,8.088682439341117,PLEKHF2,7.885983315342585,NF1,7.858248206555546,CDC42SE2,7.841615169114739
93,ABI2,ANKRD17,9.758049510602138,ZFR,9.05024031695625,NLK,8.973102783317817,TAOK1,8.904191380310058,DLG1,8.806909436823046
94,ABI3,CD300A,8.097232869089666,LRRC25,7.661189501224523,CALHM2,7.64886988745783,CD160,7.283498651213619,FCGR3A,7.176084709707911
95,ABI3BP,CDH2,7.620559649554046,PRELP,7.173583721907665,ITGBL1,6.977202931937694,COL6A1,6.930290369307073,COL8A1,6.295744662468178
96,ABL1,SBF2,8.469230339634008,CHSY1,8.281521150557749,MED13,8.235211540669525,PHACTR4,7.73226259020398,TMCC1,7.717004185331762
97,ABL2,TAOK1,9.340325530914136,FBXO11,8.692809473326738,INTS6,8.400324906996145,VPS13B,8.337556815592531,ERC1,8.02037679194583
98,ABLIM1,MAGI1,9.045647247046288,SPTBN1,8.984367331562709,MACF1,8.977379462611156,IGF1R,8.850289791173049,CNKSR2,8.544244341283823
99,ABLIM2,RAD9A,7.367597447664504,FSTL4,7.355017733686727,MAPT,6.746799816019724,DLGAP3,6.591444169607074,XKR6,6.492186538296241
100,ABLIM3,ABCB11,7.009301809615505,ALDH1A2,6.2831139193566425,RSU1,6.185351077480544,VCL,6.156576993191798,MLXIPL,6.109793357045566
101,ABR,CHST11,9.26098301418354,MICAL2,8.300131609446456,DENND1A,8.132471915096765,ARHGAP26,8.026782382036783,MAP3K5,7.829420343005296
102,ABRA,PDRG1,4.9287536312316265,MRPL49,4.285497023255613,PEX11B,4.020355879560747,EPHB3,3.9341823965559444,SMUG1,3.887421038346455
103,ABRACL,DGUOK,8.570169197837624,DCTPP1,8.29420009808835,SNRPD3,7.911104767916739,MMADHC,7.825791685966457,ACTR3,7.77123260839019
104,ABT1,RPIA,10.62376802711756,EXOSC1,10.425939097304045,TIMM17A,10.409040798050192,PMPCA,10.366834247234406,EXOSC9,10.327433707670622
105,ABTB1,CCNDBP1,7.894960339837893,ATG9A,7.545659020463541,STX5,7.4092247434309675,WDR45,7.099960672343357,R3HDM4,7.005013032575333
106,ABTB2,PLEKHA7,7.073714481166506,INHBA,6.46205443272699,EEPD1,6.22612395106031,MITF,6.110496457276507,SPSB1,6.027305363121484
107,ACAA1,ETFB,8.936898508785436,SUCLG1,8.752293951568875,TUFM,8.741930182197978,SLC25A11,8.741386675824929,TST,8.73698872645933
108,ACAA2,HSD17B10,9.07065695676503,PBDC1,8.725138835634851,COPZ1,8.565830238983002,ALDH9A1,8.498601644983928,ECH1,8.428397805095354
109,ACACA,VPS13A,9.765460329832639,HLCS,9.426237044020782,REV3L,9.065738156877538,EXOC6B,9.047233382247232,CUL3,8.900537517096138
110,ACACB,AOX1,7.266885267385182,DPP9,6.068046182299526,ADIPOR2,5.676039949521168,ATP7B,5.665266664466042,PNPLA3,5.633294040795392
111,ACAD10,RAD54L2,6.655372711774613,MLH1,6.499313243519852,TBC1D13,6.462894780998887,IDE,6.444780977907581,GPN2,6.4143570485279495
112,ACAD11,PIGN,6.9577735878084415,C2CD3,6.918559044451042,ERCC6L2,6.458553539160104,ELP2,6.354967613672358,SMARCAD1,6.3522550483523395
113,ACAD8,RHOT2,7.346693629752053,DDX41,6.916167341826526,PCCB,6.76124068584595,RNF14,6.705284852385971,IPO13,6.626667099028709
114,ACAD9,ECSIT,7.88412666702003,NDUFAF1,7.7407107376724404,TRUB2,7.478511143673542,TRAP1,7.251273986684429,TRAP1,7.1955906489413355
115,ACADL,LNX2,5.453387685255688,CASKIN2,4.981298587003465,CYP39A1,4.830158117895846,LSM11,4.701960696500832,ANKAR,4.69247657064409
116,ACADM,MDH1,8.646721336159356,HADHB,8.641447665287407,GHITM,8.521406877556208,UQCRC2,8.435220795935594,MCM3,8.412898385312698
117,ACADS,EDEM2,8.485987833539799,ARFRP1,8.33892322591831,SIRT7,8.306112507218181,ALG3,8.269404118959693,ACAA2,8.172977447746742
118,ACADSB,MMAB,7.840940031738189,FASN,7.63956901803866,HMGCR,7.41488269006075,TMTC3,7.280122288101211,ALDH6A1,7.265502901836787
119,ACADVL,CDC37,9.912068544239366,HADHB,9.492286305505738,AUP1,9.351809654612099,LMAN2,9.30921248359694,BCAP31,8.953767446202423
120,ACAN,CCDC167,7.303837301218035,PADI2,6.734113687104485,SGCA,6.257228433256293,LOXL1,6.032781748814903,EPYC,5.830839819255196
