,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
88,ABHD4,WDR45,6.539657954802517,TPST2,6.384601275856365,CRAT,6.1558712577424295,NAA60,6.13616792284872,TMBIM1,6.111324587547955
89,ABHD5,LAMP2,7.03481132734879,CAT,6.585061291731501,MAP1LC3B,6.5148146195017524,KLF4,6.493397951139023,ATP6V0D1,6.464271282165714
90,ABHD6,FARP2,5.596467880107972,MECR,4.96253449657122,SLC39A11,4.872584489447762,ZNF589,4.526491128706077,NMNAT3,4.508501127281385
91,ABHD8,FLYWCH2,6.612474627235792,FARSA,6.323777937706218,TBC1D17,6.123317921831084,COG8,6.016234580017442,FBXL12,6.000814578796278
92,ABI1,ACTR3,7.168451337932214,CSNK1A1,6.967991322057078,NF1,6.86947464758853,MED13L,6.697284633952195,ZNF207,6.639031296005575
93,ABI2,ANKRD17,7.594214704983248,BMPR2,7.339784684834038,PRKAR1A,6.903741316968895,LRBA,6.788947974544672,PSIP1,6.75125463822627
94,ABI3,RHOG,7.114481333658138,DNASE2,7.099061332436975,CD300A,6.957711321242969,FCGR3A,6.924301318597113,NAGK,6.836064644942674
95,ABI3BP,THSD7A,4.646424471537354,CDH2,4.302044444264686,COL8A1,3.94567108270889,PKHD1L1,3.9045510794524527,SFRP2,3.879707744151688
96,ABL1,EIF4G3,6.912307984313986,SBF2,6.845487979022274,KDM2A,6.3726079415732375,NCOR2,6.19442126079534,TMCC1,6.073631251229553
97,ABL2,FBXO11,7.2815313468874185,VPS13B,7.087067998153847,ASH1L,6.9825546565437335,INO80D,6.769244639650962,SPPL3,6.544797955209571
98,ABLIM1,SPTBN1,7.50340803112528,MACF1,7.15303133671105,JAK1,7.018534659393117,IGF1R,6.8737579812610745,GMDS,6.85919464677442
99,ABLIM2,RAD9A,6.6638746313063395,CACNA1B,6.071061251026027,FSTL4,5.93999124064613,RNF175,5.502234539311968,MAPT,5.365167861790509
100,ABLIM3,ABCB11,7.108484666516575,ALDH1A2,6.755537971898816,ACSM2A,5.9725445765574765,ASGR1,5.503091206046477,PC,5.158711178773809
101,ABR,GAS7,6.852341312898347,MAP3K5,6.830067977801109,CYFIP1,6.7178446355804144,AP2A2,6.681864632731031,CHST11,6.599624626218156
102,ABRA,ZNF738,4.552191130741351,PDRG1,4.25921110753923,DHCR7,3.5593143854452762,RPF1,3.210651024500062,POPDC2,3.125841017783659
103,ABRACL,GTF3C6,7.756124717805473,ARPC5,7.706438047203943,SNRPD3,7.659321376805941,TXNDC17,7.620771373753031,NMI,7.613918039876958
104,ABT1,UBE2J2,7.752698050867436,MRPL43,7.706438047203943,MAD2L2,7.676454711496124,THYN1,7.660178043540451,EMC7,7.616488040080485
105,ABTB1,CCNDBP1,7.135898002020867,ZNF581,7.117051333861666,STX5,7.0776446640742465,R3HDM4,7.0639379963221,CALCOCO1,6.877184648199112
106,ABTB2,SAMD4A,5.678707886620847,EEPD1,5.65729121825812,PLEKHA7,5.173274513260465,MOGAT1,4.86487448883718,CRADD,4.820327818642706
107,ACAA1,HSD17B10,7.649898042726341,SLC25A11,7.5719413698860105,HADHA,7.565088036009938,MPC1,7.542814700912701,ECHS1,7.452008027054733
108,ACAA2,HSD17B10,7.6267680408945955,PBDC1,7.541958034178192,ECH1,7.42545135828495,ACP1,7.336358017896002,ALDH9A1,7.310658015860728
109,ACACA,BTBD9,7.449438026851206,WDPCP,7.278104679949381,ATP9B,7.2404113436309805,ATRN,7.223278008940798,CBFA2T2,7.204431340781597
110,ACACB,AOX1,6.0333679147076245,OBSCN,5.677851219886339,KLF15,5.315481191188979,PNPLA3,5.127871176331481,FZD4,5.026784501659405
111,ACAD10,ZNF500,6.383744609121857,ZNF526,5.792644562310561,RAD54L2,5.771227893947833,TBC1D13,5.6949845545765205,ZNF347,5.5938978799044445
112,ACAD11,PIGN,6.519097953174297,C2CD3,6.515671286236262,RALGAPB,5.832051232097981,DDHD2,5.71468788947023,ELP2,5.670141219275756
113,ACAD8,RHOT2,6.587631291935027,MAD2L1BP,6.508817952360189,ZNF230,6.329774604847781,TMEM138,6.290367935060362,ARL16,6.268951266697633
114,ACAD9,ECSIT,7.277248013214872,NDUFAF1,7.17187800487025,TRAP1,6.661304631102812,MAN2C1,6.62532462825343,TRUB2,6.619327961111865
115,ACADL,CASKIN2,4.52306446176804,LNX2,4.40570111914029,CYP39A1,4.1838244349024265,FHDC1,4.084451093699368,NEK3,3.9670877510716185
116,ACADM,MCM3,7.525681366222519,MDH1,7.370624687276367,PDHB,7.173591338339268,EXOSC3,7.17187800487025,NUDT5,7.105057999578539
117,ACADS,EDEM2,7.46571469480688,NUDT16L1,7.369768020541858,ARFRP1,7.356061352789712,REEP6,7.3483513521791295,NUDT22,7.2943813479050545
118,ACADSB,TMTC3,6.463414615431205,RAB11FIP4,6.378604608714801,MMAB,6.378604608714801,SC5D,5.975971243495514,FASN,5.967404576150423
119,ACADVL,AUP1,7.65161137619536,LMAN2,7.637048041708704,HADHB,7.607064706000885,CYC1,7.567658036213466,PSMD11,7.500838030921754
120,ACAN,CCDC167,5.437984534223784,ENO3,4.842601153739943,GREM1,4.750081146412958,SGCA,4.673837807041646,MAP3K7CL,4.624151136440116
121,ACAP1,CORO1A,7.717574714752562,RAC2,7.5376747005056455,TRAF3IP3,7.508548031532336,C19orf25,7.171021338135741,LCK,7.1453213361004675
122,ACAP2,OSBPL8,7.715004714549035,PAFAH1B1,7.597641371921284,TTC17,7.58307803743463,DIAPH2,7.550524701523283,MEF2A,7.529108033160554
123,ACAP3,TMEM259,7.051944662038973,MMP17,6.647597963350666,ST3GAL2,6.34176793913091,DPF1,6.003384578999806,NPEPL1,5.936564573708094
124,ACAT1,PDHB,7.577081370293065,PDHB,7.570228036416992,NDUFV1,7.458004694196298,NDUFV1,7.446868026647679,PDHA1,7.4425846929751325
125,ACAT2,MMAB,7.601068038859322,MEA1,7.569371369682483,RDH11,7.538531367240155,TMEM97,7.445154693178661,SAE1,7.443441359709642
126,ACBD3,TM9SF3,7.278104679949381,KCMF1,7.207858007719633,COPB1,7.089637998357373,TMF1,7.031384660410754,TMEM208,6.967991322057078
